SHOW,DATE OF APPEARANCE,PUNDIT NAME,GENDER,RACE,AGE,POLITICAL AFFILIATION,EDUCATION,OCCUPATION,
The Aaron Harber Show: Colorado Business News,2014-present,Greg Avery,Male,White,25-34,Democrat,BA,"Arts, Design, Entertainment, Sports, and Media",
The Aaron Harber Show: Colorado Business News,2014-present,Erin Bassity,Female,White,35-44,Democrat,MA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Gretchen Bleiler,Female,White,35-44,Democrat,High school,"Arts, Design, Entertainment, Sports, and Media",
The Aaron Harber Show: Colorado Business News,2014-present,Rutt Bridges,Male,White,55-64,Unregistered,MA,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Carrie Brownstein,Female,White,35-44,?,MA,"Farming, Fishing, and Forestry ",
The Aaron Harber Show: Colorado Business News,2014-present,Morgan Carroll,Female,White,35-44,Democrat,JD,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Pete Casillas,Male,Hispanic and Latino,35-44,Unaffiliated,MA,"Business, Financial, and Economics",
The Aaron Harber Show: Colorado Business News,2014-present,Linda Chavez,Female,Hispanic and Latino,65-74,Republican,MA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Brent Chrite,Male,African American,55-64,Democrat,PhD,Education/Research,
The Aaron Harber Show: Colorado Business News,2014-present,Cynthia Coffman,Female,White,45-54,Republican,JD,Legal,
The Aaron Harber Show: Colorado Business News,2014-present,Brian DelGrosso,Male,White,35-44,Republican,BA,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Frances Draper,Female,White,55-64,Unaffiliated,MA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Crisanta Duran,Female,Hispanic and Latino,35-44,Democrat,JD,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Hikmet Ersek,Male,Other,55-64,Unregistered,MA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Alan Fletcher,Male,White,55-64,Democrat,PhD,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Tony Gagliardi,Male,White,45-54,Unaffiliated,BA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Dan Gross,Male,White,45-54,Democrat,BA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Rollie Heath,Male,White,74+,Democrat,BA,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Todd Hennis,Male,White,55-64,Republican,BA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Steve House,Male,White,65-74,Republican,BA,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Jake Jabs,Male,White,74+,Republican,BA,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Harold Jackson,Male,White,65-74,Republican,BA,"Business, Financial, and Economics",
The Aaron Harber Show: Colorado Business News,2014-present,Kevin Lundberg,Male,White,55-64,Republican,BA,Politics/Policy,
The Aaron Harber Show: Colorado Business News,2014-present,Kevin Mason,Male,White,45-54,?,?,Management,
The Aaron Harber Show: Colorado Business News,2014-present,Dominick Moreno,Male,Hispanic and Latino,25-34,Democrat,BA,Politics/Policy,
